Khóa,Mã HP,Tên HP,Số TC,Ngành,Kiểu môn
27,NW312,Thiết kế và quản trị mạng,3,TI,1
27,NW332,An toàn mạng,3,TI,1
27,CF211,Phân tích và thiết kế thuật toán,2,TI,1
27,CS223,Lập trình Java,3,TI,0
27,CS224,Lập trình .Net,3,TI,0
27,CS311,Lập trình ứng dụng di động,3,TI,0
27,CS312,Lập trình hệ thống,3,TI,0
27,CS325,Lập trình PHP,3,TI,0
27,CS425,Một số vấn đề hiện đại trong khoa học máy tính,2,TI,0
27,IS424,Lập trình cơ sở dữ liệu,3,TI,0
27,IS333,Phân tích thiết kế hệ thống thông tin,2,TI,0
27,IS385,Cơ sở dữ liệu phân tán,2,TI,0
27,IP401,Thực tập ngành Khoa học máy tính,2,TI,1
27,CS499,KLTN ngành Khoa học máy tính,6,TI,1
27,CS428,CĐTN Công nghệ .Net,6,TI,1
27,CS429,CĐTN Công nghệ Java,6,TI,1
27,SE487,CĐTN: Phát triển phần mềm,6,TI,1
27,IS484,CĐTN Cơ sở dữ liệu,6,TI,1
27,NW439,CĐTN An toàn mạng,6,TI,1
27,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TC,1
27,MA103,Số và cấu trúc đại số,2,TC,1
27,CS100,Tin đại cương,2,TC,1
27,MA110,Giải tích 1,3,TC,1
27,MA111,Giải tích 2,3,TC,1
27,MA120,Đại số tuyến tính,3,TC,1
27,MA231,Xác suất thống kê ứng dụng,4,TC,1
27,MI201,Toán rời rạc,3,TC,1
27,CF212,Cấu trúc dữ liệu,3,TC,1
27,CS110,Kỹ thuật số,2,TC,1
27,CS121,Ngôn ngữ lập trình,3,TC,1
27,CS122,Lập trình hướng đối tượng,3,TC,1
27,CS212,Kiến trúc máy tính,3,TC,1
27,CS315,Nguyên lý hệ điều hành,3,TC,1
27,IS222,Cơ sở dữ liệu,3,TC,1
27,NW212,Mạng máy tính,2,TC,1
27,CF231,Lý thuyết thông tin và mã hóa,2,TC,1
27,CF321,Xử lý tín hiệu số,2,TC,1
27,CS211,Vi điều khiển và ứng dụng,3,TC,1
27,NW312,Thiết kế và quản trị mạng,3,TC,1
27,NW332,An toàn mạng,3,TC,1
27,ET220,Lý thuyết mạch,3,TC,1
27,TC311,Kỹ thuật truyền tin,3,TC,1
27,TC313,Kỹ thuật truyền dẫn,3,TC,1
27,TC314,Kỹ thuật kết nối mạng,3,TC,1
27,TC315,Công nghệ mạng truyền thông,3,TC,1
27,CS311,Lập trình ứng dụng di động,3,TC,1
27,CS411,Ứng dụng kỹ thuật vi xử lý trong đo lường và điều khiển,2,TC,1
27,IS333,Phân tích thiết kế hệ thống thông tin,2,TC,1
27,NW322,Lập trình mạng,3,TC,1
27,TC403,Mạng truy nhập,2,TC,1
27,TC473,Quản lý mạng viễn thông,3,TC,1
27,IP402,Thực tập ngành Truyền thông và mạng máy tính,2,TC,1
27,TC487,CĐTNTruyền thông và mạng máy tính,6,TC,1
27,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TE,1
27,CS100,Tin đại cương,2,TE,1
27,MA110,Giải tích 1,3,TE,1
27,MA111,Giải tích 2,3,TE,1
27,MA120,Đại số tuyến tính,3,TE,1
27,MA231,Xác suất thống kê ứng dụng,4,TE,1
27,MI201,Toán rời rạc,3,TE,1
27,CF212,Cấu trúc dữ liệu,3,TE,1
27,CS110,Kỹ thuật số,2,TE,1
27,CS121,Ngôn ngữ lập trình,3,TE,1
27,CS122,Lập trình hướng đối tượng,3,TE,1
27,CS212,Kiến trúc máy tính,3,TE,1
27,CS315,Nguyên lý hệ điều hành,3,TE,1
27,IS222,Cơ sở dữ liệu,3,TE,1
27,NW212,Mạng máy tính,2,TE,1
27,IS314,Cơ bản về hệ thống thông tin,3,TE,1
27,IS322,Hệ quản trị cơ sở dữ liệu,3,TE,1
27,IS326,Khai phá dữ liệu,3,TE,1
27,IS315,Mô hình hóa quy trình nghiệp vụ,2,TE,1
27,IS332,Phân tích thiết kế hướng đối tượng,3,TE,1
27,IS334,Thực hành phân tích thiết kế hệ thống thông tin,3,TE,1
27,SE302,Công nghệ phần mềm,2,TE,1
27,IS383,Hệ thống thông tin nâng cao,2,TE,1
27,SE320,Quản lý dự án công nghệ thông tin,3,TE,1
27,IS320,Thực hành quản lý dự án hệ thống thông tin,3,TE,1
27,IS316,Hạ tầng hệ thống thông tin,3,TE,1
27,IS480,Kiến trúc doanh nghiệp,3,TE,1
27,CS223,Lập trình Java,3,TE,0
27,CS224,Lập trình .Net,3,TE,0
27,CS325,Lập trình PHP,3,TE,0
27,IS333,Phân tích thiết kế hệ thống thông tin,2,TE,0
27,IS327,Nhà kho dữ liệu,3,TE,0
27,IS328,Cơ sở dữ liệu nâng cao,3,TE,0
27,IS384,Các vấn đề hiện đại về hệ thống thông tin,3,TE,0
27,IS481,Quản lý hệ thống thông tin chiến lược,3,TE,0
27,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,2,TE,0
27,NW312,Thiết kế và quản trị mạng,3,TE,0
27,IP403,Thực tập ngành hệ thống thông tin,2,TE,1
27,IS499,KLTN ngành Hệ thống thông tin,6,TE,1
28,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TI,1
28,MA103,Số và cấu trúc đại số,2,TI,1
28,CS100,Tin đại cương,2,TI,1
28,SM201,Phương pháp luận nghiên cứu khoa học,3,TI,1
28,MA110,Giải tích 1,3,TI,1
28,MA111,Giải tích 2,3,TI,1
28,MA120,Đại số tuyến tính,3,TI,1
28,MA231,Xác suất thống kê ứng dụng,4,TI,1
28,MI201,Toán rời rạc,3,TI,1
28,CF212,Cấu trúc dữ liệu,3,TI,1
28,CS110,Kỹ thuật số,2,TI,1
28,CS121,Ngôn ngữ lập trình,3,TI,1
28,CS122,Lập trình hướng đối tượng,3,TI,1
28,CS212,Kiến trúc máy tính,3,TI,1
28,CS315,Nguyên lý hệ điều hành,3,TI,1
28,IS222,Cơ sở dữ liệu,3,TI,1
28,NW212,Mạng máy tính,2,TI,1
28,MI312,Đồ họa,2,TI,1
28,MI321,Trí tuệ nhân tạo,3,TI,1
28,CF231,Lý thuyết thông tin và mã hóa,2,TI,1
28,CF301,Ngôn ngữ hình thức và Otomat,3,TI,1
28,IS322,Hệ quản trị cơ sở dữ liệu,3,TI,1
28,IS332,Phân tích thiết kế hướng đối tượng,3,TI,1
28,IS381,Hệ thống thông tin quản lý,3,TI,1
28,SE302,Công nghệ phần mềm,2,TI,1
28,MI414,Giao diện người máy,2,TI,1
28,SE422,Quản lý dự án phần mềm,3,TI,1
28,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,3,TI,1
28,SE380,Project,4,TI,1
28,IS345,An toàn thông tin,2,TI,1
28,IS346,Pháp luật và chính sách an toàn thông tin,2,TI,1
28,CS316,Hệ điều hành Unix,3,TI,1
28,NW312,Thiết kế và quản trị mạng,3,TI,1
28,NW332,An toàn mạng,3,TI,1
28,CF211,Phân tích và thiết kế thuật toán,2,TI,0
28,CS223,Lập trình Java,3,TI,0
28,CS224,Lập trình .Net,3,TI,0
28,CS311,Lập trình ứng dụng di động,3,TI,0
28,CS312,Lập trình hệ thống,3,TI,0
28,CS325,Lập trình PHP,3,TI,0
28,CS425,Một số vấn đề hiện đại trong khoa học máy tính,2,TI,0
28,IS424,Lập trình cơ sở dữ liệu,3,TI,0
28,IS333,Phân tích thiết kế hệ thống thông tin,2,TI,0
28,IS385,Cơ sở dữ liệu phân tán,2,TI,0
28,IP401,Thực tập ngành Khoa học máy tính,2,TI,1
28,CS499,KLTN: ngành Khoa học máy tính,6,TI,1
28,CS428,CĐTN: Công nghệ .Net,6,TI,1
28,CS429,CĐTN: Công nghệ Java,6,TI,1
28,SE487,CĐTN: Phát triển phần mềm,6,TI,1
28,IS484,CĐTN: Cơ sở dữ liệu,6,TI,1
28,NW439,CĐTN: An toàn mạng,6,TI,1
28,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TC,1
28,MA103,Số và cấu trúc đại số,2,TC,1
28,CS100,Tin đại cương,2,TC,1
28,SM201,Phương pháp luận nghiên cứu khoa học,3,TC,1
28,MA110,Giải tích 1,3,TC,1
28,MA111,Giải tích 2,3,TC,1
28,MA120,Đại số tuyến tính,3,TC,1
28,MA231,Xác suất thống kê ứng dụng,4,TC,1
28,MI201,Toán rời rạc,3,TC,1
28,CF212,Cấu trúc dữ liệu,3,TC,1
28,CS110,Kỹ thuật số,2,TC,1
28,CS121,Ngôn ngữ lập trình,3,TC,1
28,CS122,Lập trình hướng đối tượng,3,TC,1
28,CS212,Kiến trúc máy tính,3,TC,1
28,CS315,Nguyên lý hệ điều hành,3,TC,1
28,IS222,Cơ sở dữ liệu,3,TC,1
28,NW212,Mạng máy tính,2,TC,1
28,CF231,Lý thuyết thông tin và mã hóa,2,TC,1
28,CF321,Xử lý tín hiệu số,2,TC,1
28,CS211,Vi điều khiển và ứng dụng,3,TC,1
28,NW312,Thiết kế và quản trị mạng,3,TC,1
28,NW332,An toàn mạng,3,TC,1
28,ET220,Lý thuyết mạch,3,TC,1
28,TC311,Kỹ thuật truyền tin,3,TC,1
28,TC313,Kỹ thuật truyền dẫn,3,TC,1
28,TC314,Kỹ thuật kết nối mạng,3,TC,1
28,TC315,Công nghệ mạng truyền thông,3,TC,1
28,CS311,Lập trình ứng dụng di động,3,TC,0
28,CS411,Ứng dụng kỹ thuật vi xử lý trong đo lường và điều khiển,2,TC,0
28,IS333,Phân tích thiết kế hệ thống thông tin,2,TC,0
28,NW322,Lập trình mạng,3,TC,0
28,TC403,Mạng truy nhập,2,TC,0
28,TC419,Thực hành chuyên ngành,3,TC,0
28,TC473,Quản lý mạng viễn thông,3,TC,0
28,IP102,Thực tập ngành Truyền thông và mạng máy tính,2,TC,1
28,TC499,KLTN : Ngành Truyền thông và mạng máy tính,6,TC,1
28,TC487,CĐTN : Truyền thông và mạng máy tính,6,TC,1
28,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TE,1
28,MA103,Số và cấu trúc đại số,2,TE,1
28,CS100,Tin đại cương,2,TE,1
28,SM201,Phương pháp luận nghiên cứu khoa học,3,TE,1
28,MA110,Giải tích 1,3,TE,1
28,MA111,Giải tích 2,3,TE,1
28,MA120,Đại số tuyến tính,3,TE,1
28,MA231,Xác suất thống kê ứng dụng,4,TE,1
28,MI201,Toán rời rạc,3,TE,1
28,CF212,Cấu trúc dữ liệu,3,TE,1
28,CS110,Kỹ thuật số,2,TE,1
28,CS121,Ngôn ngữ lập trình,3,TE,1
28,CS122,Lập trình hướng đối tượng,3,TE,1
28,CS212,Kiến trúc máy tính,3,TE,1
28,CS315,Nguyên lý hệ điều hành,3,TE,1
28,IS222,Cơ sở dữ liệu,3,TE,1
28,NW212,Mạng máy tính,2,TE,1
28,IS314,Cơ bản về hệ thống thông tin,3,TE,1
28,IS322,Hệ quản trị cơ sở dữ liệu,3,TE,1
28,IS326,Khai phá dữ liệu,3,TE,1
28,IS315,Mô hình hóa quy trình nghiệp vụ,2,TE,1
28,IS332,Phân tích thiết kế hướng đối tượng,3,TE,1
28,IS334,Thực hành phân tích thiết kế hệ thống thông tin,3,TE,1
28,SE302,Công nghệ phần mềm,2,TE,1
28,IS383,Hệ thống thông tin nâng cao,2,TE,1
28,SE320,Quản lý dự án công nghệ thông tin,3,TE,1
28,IS320,Thực hành quản lý dự án hệ thống thông tin,3,TE,1
28,IS316,Hạ tầng hệ thống thông tin,3,TE,1
28,IS480,Kiến trúc doanh nghiệp,3,TE,1
28,CS223,Lập trình Java,3,TE,0
28,CS224,Lập trình .Net,3,TE,0
28,CS325,Lập trình PHP,3,TE,0
28,IS333,Phân tích thiết kế hệ thống thông tin,2,TE,0
28,IS327,Kho dữ liệu,3,TE,0
28,IS328,Cơ sở dữ liệu nâng cao,3,TE,0
28,IS384,Các vấn đề hiện đại về hệ thống thông tin,3,TE,0
28,IS424,Lập trình cơ sở dữ liệu,3,TE,0
28,IS481,Quản lý hệ thống thông tin chiến lược,3,TE,0
28,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,3,TE,0
28,NW312,Thiết kế và quản trị mạng,3,TE,0
28,IS206,Kỹ năng soạn thảo văn bản,3,TE,0
28,AD201,Kỹ năng giao tiếp và thuyết trình,2,TE,0
28,IP403,Thực tập ngành Hệ thống thông tin,2,TE,1
28,IS499,KLTN ngành Hệ thống thông tin,6,TE,1
29,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TI,1
29,MA103,Số và cấu trúc đại số,2,TI,1
29,CS100,Tin đại cương,2,TI,1
29,SM201,Phương pháp luận nghiên cứu khoa học,3,TI,1
29,MA110,Giải tích 1,3,TI,1
29,MA111,Giải tích 2,3,TI,1
29,MA120,Đại số tuyến tính,3,TI,1
29,MA231,Xác suất thống kê ứng dụng,4,TI,1
29,MI201,Toán rời rạc,3,TI,1
29,CF212,Cấu trúc dữ liệu,3,TI,1
29,CS110,Kỹ thuật số,2,TI,1
29,CS121,Ngôn ngữ lập trình,3,TI,1
29,CS122,Lập trình hướng đối tượng,3,TI,1
29,CS212,Kiến trúc máy tính,3,TI,1
29,CS315,Nguyên lý hệ điều hành,3,TI,1
29,IS222,Cơ sở dữ liệu,3,TI,1
29,NW212,Mạng máy tính,2,TI,1
29,CF231,Lý thuyết thông tin và mã hóa,2,TI,1
29,CF301,Ngôn ngữ hình thức và Otomat,3,TI,1
29,IS314,Hệ thống thông tin,3,TI,1
29,IS322,Hệ quản trị cơ sở dữ liệu,3,TI,1
29,IS332,Phân tích thiết kế hướng đối tượng,3,TI,1
29,MI312,Đồ họa,2,TI,1
29,MI321,Trí tuệ nhân tạo,3,TI,1
29,SE302,Công nghệ phần mềm,2,TI,1
29,SE422,Quản lý dự án phần mềm,3,TI,1
29,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,3,TI,1
29,SE380,Project,3,TI,1
29,IS345,An toàn thông tin,3,TI,1
29,NW312,Thiết kế và quản trị mạng,3,TI,1
29,NW332,An toàn mạng,3,TI,1
29,CF211,Phân tích và thiết kế thuật toán,2,TI,0
29,CS223,Lập trình Java,3,TI,0
29,CS224,Lập trình .Net,3,TI,0
29,CS311,Lập trình ứng dụng di động,2,TI,0
29,CS312,Lập trình hệ thống,3,TI,0
29,CS316,Hệ điều hành Unix,3,TI,0
29,CS325,Lập trình PHP,3,TI,0
29,CS425,Một số vấn đề hiện đại trong khoa học máy tính,2,TI,0
29,IS424,Lập trình cơ sở dữ liệu,3,TI,0
29,IS333,Phân tích thiết kế hệ thống thông tin,2,TI,0
29,IS325,Cơ sở dữ liệu phân tán,2,TI,0
29,IS383,Hệ thống thông tin nâng cao,2,TI,0
29,MI414,Giao diện người máy,2,TI,0
29,IP401,Thực tập ngành Khoa học máy tính,2,TI,1
29,CS499,KLTN ngành Khoa học máy tính,6,TI,1
29,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TC,1
29,MA103,Số và cấu trúc đại số,2,TC,1
29,CS100,Tin đại cương,2,TC,1
29,SM201,Phương pháp luận nghiên cứu khoa học,3,TC,1
29,MA110,Giải tích 1,3,TC,1
29,MA111,Giải tích 2,3,TC,1
29,MA120,Đại số tuyến tính,3,TC,1
29,MA231,Xác suất thống kê ứng dụng,4,TC,1
29,MI201,Toán rời rạc,3,TC,1
29,CF212,Cấu trúc dữ liệu,3,TC,1
29,CS110,Kỹ thuật số,2,TC,1
29,CS121,Ngôn ngữ lập trình,3,TC,1
29,CS122,Lập trình hướng đối tượng,3,TC,1
29,CS212,Kiến trúc máy tính,3,TC,1
29,CS315,Nguyên lý hệ điều hành,3,TC,1
29,IS222,Cơ sở dữ liệu,3,TC,1
29,NW212,Mạng máy tính,2,TC,1
29,CF231,Lý thuyết thông tin và mã hóa,2,TC,1
29,CF320,Tín hiệu và hệ thống,2,TC,1
29,CF321,Xử lý tín hiệu số,3,TC,1
29,MA300,Toán chuyên ngành,3,TC,1
29,TC300,Mô hình hóa và mô phỏng,3,TC,1
29,NW312,Thiết kế và quản trị mạng,3,TC,1
29,TC313,Kỹ thuật truyền dẫn,3,TC,1
29,TC314,Kỹ thuật kết nối mạng,3,TC,1
29,TC316,An ninh mạng truyền thông,3,TC,1
29,TC473,Quản lý mạng viễn thông,3,TC,1
29,TC411,Mạng không dây đa bước,3,TC,0
29,TC412,Báo hiệu và điều khiển,3,TC,0
29,TC413,Chất lượng dịch vụ mạng,3,TC,0
29,TC414,Tính toán đám mây,3,TC,0
29,TC415,Mạng cảm biến,3,TC,0
29,TC416,Internet thế hệ mới,3,TC,0
29,TC417,Vô tuyến nhận thức,3,TC,0
29,TC418,Lập trình nhúng,3,TC,0
29,TC420,Thiết kế hệ thống,3,TC,0
29,TC421,Dữ liệu lớn,3,TC,0
29,NW322,Lập trình mạng,3,TC,0
29,CS311,Lập trình ứng dụng di động,3,TC,0
29,IP402,Thực tập ngành Truyền thông và mạng máy tính,3,TC,1
29,TC499,KLTN ngành Truyền thông và mạng máy tính,6,TC,1
29,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TE,1
29,MA103,Số và cấu trúc đại số,2,TE,1
29,CS100,Tin đại cương,2,TE,1
29,SM201,Phương pháp luận nghiên cứu khoa học,3,TE,1
29,MA110,Giải tích 1,3,TE,1
29,MA111,Giải tích 2,3,TE,1
29,MA120,Đại số tuyến tính,3,TE,1
29,MA231,Xác suất thống kê ứng dụng,4,TE,1
29,MI201,Toán rời rạc,3,TE,1
29,CF212,Cấu trúc dữ liệu,3,TE,1
29,CS110,Kỹ thuật số,2,TE,1
29,CS121,Ngôn ngữ lập trình,3,TE,1
29,CS122,Lập trình hướng đối tượng,3,TE,1
29,CS212,Kiến trúc máy tính,3,TE,1
29,CS315,Nguyên lý hệ điều hành,3,TE,1
29,IS222,Cơ sở dữ liệu,3,TE,1
29,NW212,Mạng máy tính,2,TE,1
29,IS314,Hệ thống thông tin,3,TE,1
29,IS315,Mô hình hóa quy trình nghiệp vụ,2,TE,1
29,IS316,Hạ tầng hệ thống thông tin,3,TE,1
29,IS322,Hệ quản trị cơ sở dữ liệu,3,TE,1
29,IS332,Phân tích thiết kế hướng đối tượng,3,TE,1
29,IS334,Quản lý dự án hệ thống thông tin,3,TE,1
29,IS383,Hệ thống thông tin nâng cao,2,TE,1
29,IS480,Kiến trúc doanh nghiệp,3,TE,1
29,SE302,Công nghệ phần mềm,2,TE,1
29,IS325,Cơ sở dữ liệu phân tán,2,TE,1
29,IS326,Khai phá dữ liệu,3,TE,1
29,IS327,Kho dữ liệu,3,TE,1
29,IS333,Phân tích thiết kế hệ thống thông tin,2,TE,1
29,IS335,Phát triển ứng dụng doanh nghiệp,3,TE,1
29,IS336,Triển khai và kiểm soát hệ thống thông tin doanh nghiệp,3,TE,1
29,SC201,Kỹ năng giao tiếp và thuyết trình,2,TE,0
29,CS223,Lập trình Java,3,TE,0
29,CS224,Lập trình .Net,3,TE,0
29,CS325,Lập trình PHP,3,TE,0
29,IS345,An toàn thông tin,3,TE,0
29,IS384,Một số vấn đề hiện đại về hệ thống thông tin,3,TE,0
29,IS424,Lập trình cơ sở dữ liệu,3,TE,0
29,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,3,TE,0
29,IP403,Thực tập ngành Hệ thống thông tin,2,TE,1
29,IS499,KLTN ngành Hệ thống thông tin,6,TE,1
30,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TI,1
30,MA103,Số và cấu trúc đại số,2,TI,1
30,CS100,Tin đại cương,2,TI,1
30,SM201,Phương pháp luận nghiên cứu khoa học,3,TI,1
30,MA110,Giải tích 1,3,TI,1
30,MA111,Giải tích 2,3,TI,1
30,MA120,Đại số tuyến tính,3,TI,1
30,MA231,Xác suất thống kê ứng dụng,4,TI,1
30,MI201,Toán rời rạc,3,TI,1
30,CF212,Cấu trúc dữ liệu,3,TI,1
30,CS110,Kỹ thuật số,2,TI,1
30,CS121,Ngôn ngữ lập trình,3,TI,1
30,CS122,Lập trình hướng đối tượng,3,TI,1
30,CS212,Kiến trúc máy tính,3,TI,1
30,CS315,Nguyên lý hệ điều hành,3,TI,1
30,IS222,Cơ sở dữ liệu,3,TI,1
30,NW212,Mạng máy tính,2,TI,1
30,CF231,Lý thuyết thông tin và mã hóa,2,TI,1
30,CF301,Ngôn ngữ hình thức và Otomat,3,TI,1
30,IS314,Hệ thống thông tin,3,TI,1
30,IS322,Hệ quản trị cơ sở dữ liệu,3,TI,1
30,IS332,Phân tích thiết kế hướng đối tượng,3,TI,1
30,MI312,Đồ họa,2,TI,1
30,MI321,Trí tuệ nhân tạo,3,TI,1
30,SE302,Công nghệ phần mềm,2,TI,1
30,SE422,Quản lý dự án phần mềm,3,TI,1
30,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,3,TI,1
30,SE380,Project,3,TI,1
30,IS345,An toàn thông tin,3,TI,1
30,NW312,Thiết kế và quản trị mạng,3,TI,1
30,NW332,An toàn mạng,3,TI,1
30,CF211,Phân tích và thiết kế thuật toán,2,TI,0
30,CS223,Lập trình Java,3,TI,0
30,CS224,Lập trình .Net,3,TI,0
30,CS311,Lập trình ứng dụng di động,2,TI,0
30,CS312,Lập trình hệ thống,3,TI,0
30,CS316,Hệ điều hành Unix,3,TI,0
30,CS325,Lập trình PHP,3,TI,0
30,CS425,Một số vấn đề hiện đại trong khoa học máy tính,2,TI,0
30,IS424,Lập trình cơ sở dữ liệu,3,TI,0
30,IS333,Phân tích thiết kế hệ thống thông tin,2,TI,0
30,IS325,Cơ sở dữ liệu phân tán,2,TI,0
30,IS383,Hệ thống thông tin nâng cao,2,TI,0
30,MI414,Giao diện người máy,2,TI,0
30,IP401,Thực tập ngành Khoa học máy tính,2,TI,1
30,CS499,KLTN ngành Khoa học máy tính,6,TI,1
30,IS484,CĐTN: Cơ sở dữ liệu,6,TI,1
30,NW439,CĐTN: An toàn mạng,6,TI,1
30,SE487,CĐTN: Phát triển phần mềm,6,TI,1
30,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TC,1
30,MA103,Số và cấu trúc đại số,2,TC,1
